"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
58,200,0.02,"Fixed point linearization","fix","alpha",0.508645240646626,0.5
58,200,0.02,"Fixed point linearization","fix","gamma",1.84261066973398,1.5
58,200,0.02,"Fixed point linearization","fix","beta",-0.121467028814039,1.4
58,200,0.02,"Fixed point linearization","fix","sigma[1]",0.321324463840839,0.3
58,200,0.02,"Fixed point linearization","fix","sigma[2]",0.533707158117308,0.5
59,200,0.02,"Fixed point linearization","fix","epsilon",0.0508321145843395,0.1
59,200,0.02,"Fixed point linearization","fix","alpha",0.496515313161616,0.5
59,200,0.02,"Fixed point linearization","fix","gamma",1.16522433460649,1.5
59,200,0.02,"Fixed point linearization","fix","beta",0.858373480352428,1.4
59,200,0.02,"Fixed point linearization","fix","sigma[1]",0.316026807255087,0.3
59,200,0.02,"Fixed point linearization","fix","sigma[2]",0.505727357481416,0.5
60,200,0.02,"Fixed point linearization","fix","epsilon",0.05183307759891,0.1
60,200,0.02,"Fixed point linearization","fix","alpha",0.499986818286087,0.5
60,200,0.02,"Fixed point linearization","fix","gamma",1.0100036351283,1.5
60,200,0.02,"Fixed point linearization","fix","beta",0.1762126864506,1.4
60,200,0.02,"Fixed point linearization","fix","sigma[1]",0.307485515679052,0.3
60,200,0.02,"Fixed point linearization","fix","sigma[2]",0.495963682757229,0.5
61,200,0.02,"Fixed point linearization","fix","epsilon",0.052146697199422,0.1
