"path","ratio","sub_h","method","method_code","parameter","estimate","truth"
48,200,0.02,"Fixed point linearization","fix","alpha",0.494188535043961,0.5
48,200,0.02,"Fixed point linearization","fix","gamma",1.25594728981303,1.5
48,200,0.02,"Fixed point linearization","fix","beta",0.731162588343504,0.6
48,200,0.02,"Fixed point linearization","fix","sigma[1]",0.299386231607798,0.3
48,200,0.02,"Fixed point linearization","fix","sigma[2]",0.489931994826056,0.5
49,200,0.02,"Fixed point linearization","fix","epsilon",0.101321462203054,0.1
49,200,0.02,"Fixed point linearization","fix","alpha",0.491352998034633,0.5
49,200,0.02,"Fixed point linearization","fix","gamma",1.19178833788131,1.5
49,200,0.02,"Fixed point linearization","fix","beta",0.693487902877008,0.6
49,200,0.02,"Fixed point linearization","fix","sigma[1]",0.302704587911192,0.3
49,200,0.02,"Fixed point linearization","fix","sigma[2]",0.497742954309778,0.5
50,200,0.02,"Fixed point linearization","fix","epsilon",0.0998331244105467,0.1
50,200,0.02,"Fixed point linearization","fix","alpha",0.498142668774333,0.5
50,200,0.02,"Fixed point linearization","fix","gamma",1.28912226389881,1.5
50,200,0.02,"Fixed point linearization","fix","beta",0.747416254842012,0.6
50,200,0.02,"Fixed point linearization","fix","sigma[1]",0.305911047635586,0.3
50,200,0.02,"Fixed point linearization","fix","sigma[2]",0.497125808029777,0.5
51,200,0.02,"Fixed point linearization","fix","epsilon",0.098145908201458,0.1
51,200,0.02,"Fixed point linearization","fix","alpha",0.49177679057784,0.5
51,200,0.02,"Fixed point linearization","fix","gamma",1.4877538846687,1.5
51,200,0.02,"Fixed point linearization","fix","beta",0.662627684498166,0.6
51,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31367704090517,0.3
51,200,0.02,"Fixed point linearization","fix","sigma[2]",0.494185143014227,0.5
52,200,0.02,"Fixed point linearization","fix","epsilon",0.102558640146847,0.1
52,200,0.02,"Fixed point linearization","fix","alpha",0.498023664878506,0.5
52,200,0.02,"Fixed point linearization","fix","gamma",1.48025822511186,1.5
52,200,0.02,"Fixed point linearization","fix","beta",0.673693900528114,0.6
52,200,0.02,"Fixed point linearization","fix","sigma[1]",0.298091360684362,0.3
52,200,0.02,"Fixed point linearization","fix","sigma[2]",0.516312748799191,0.5
53,200,0.02,"Fixed point linearization","fix","epsilon",0.100238271171942,0.1
53,200,0.02,"Fixed point linearization","fix","alpha",0.503042778815248,0.5
53,200,0.02,"Fixed point linearization","fix","gamma",1.51171698938613,1.5
53,200,0.02,"Fixed point linearization","fix","beta",0.712758526651917,0.6
53,200,0.02,"Fixed point linearization","fix","sigma[1]",0.29774212352546,0.3
53,200,0.02,"Fixed point linearization","fix","sigma[2]",0.495487543890731,0.5
54,200,0.02,"Fixed point linearization","fix","epsilon",0.0983046268989458,0.1
54,200,0.02,"Fixed point linearization","fix","alpha",0.508242494106794,0.5
54,200,0.02,"Fixed point linearization","fix","gamma",1.39742883262261,1.5
54,200,0.02,"Fixed point linearization","fix","beta",0.657851183474903,0.6
54,200,0.02,"Fixed point linearization","fix","sigma[1]",0.311319402946822,0.3
54,200,0.02,"Fixed point linearization","fix","sigma[2]",0.499152100878744,0.5
55,200,0.02,"Fixed point linearization","fix","epsilon",0.10172722171048,0.1
55,200,0.02,"Fixed point linearization","fix","alpha",0.495996128096809,0.5
55,200,0.02,"Fixed point linearization","fix","gamma",1.30019038965587,1.5
55,200,0.02,"Fixed point linearization","fix","beta",0.694316991436679,0.6
55,200,0.02,"Fixed point linearization","fix","sigma[1]",0.31632588494231,0.3
55,200,0.02,"Fixed point linearization","fix","sigma[2]",0.493211656275922,0.5
56,200,0.02,"Fixed point linearization","fix","epsilon",0.101822548973744,0.1
56,200,0.02,"Fixed point linearization","fix","alpha",0.494243321044319,0.5
56,200,0.02,"Fixed point linearization","fix","gamma",1.17346537368189,1.5
56,200,0.02,"Fixed point linearization","fix","beta",0.804932770741984,0.6
56,200,0.02,"Fixed point linearization","fix","sigma[1]",0.286660149741291,0.3
56,200,0.02,"Fixed point linearization","fix","sigma[2]",0.500778671940301,0.5
57,200,0.02,"Fixed point linearization","fix","epsilon",0.102594692237063,0.1
57,200,0.02,"Fixed point linearization","fix","alpha",0.494262535725532,0.5
57,200,0.02,"Fixed point linearization","fix","gamma",1.38448131466965,1.5
57,200,0.02,"Fixed point linearization","fix","beta",1.02392485015267,0.6
57,200,0.02,"Fixed point linearization","fix","sigma[1]",0.303168902944316,0.3
57,200,0.02,"Fixed point linearization","fix","sigma[2]",0.511378324758429,0.5
58,200,0.02,"Fixed point linearization","fix","epsilon",0.0975726950529071,0.1
58,200,0.02,"Fixed point linearization","fix","alpha",0.49665116659072,0.5
58,200,0.02,"Fixed point linearization","fix","gamma",1.22173536067334,1.5
58,200,0.02,"Fixed point linearization","fix","beta",0.883471363286459,0.6
58,200,0.02,"Fixed point linearization","fix","sigma[1]",0.294136794734417,0.3
58,200,0.02,"Fixed point linearization","fix","sigma[2]",0.513923551393752,0.5
59,200,0.02,"Fixed point linearization","fix","epsilon",0.0971786214396171,0.1
59,200,0.02,"Fixed point linearization","fix","alpha",0.47954005926319,0.5
59,200,0.02,"Fixed point linearization","fix","gamma",1.22274808746993,1.5
59,200,0.02,"Fixed point linearization","fix","beta",0.676614723986519,0.6
59,200,0.02,"Fixed point linearization","fix","sigma[1]",0.314306872240459,0.3
59,200,0.02,"Fixed point linearization","fix","sigma[2]",0.523944190626586,0.5
60,200,0.02,"Fixed point linearization","fix","epsilon",0.100291042868595,0.1
60,200,0.02,"Fixed point linearization","fix","alpha",0.494625110681109,0.5
60,200,0.02,"Fixed point linearization","fix","gamma",1.44202412088253,1.5
60,200,0.02,"Fixed point linearization","fix","beta",0.592880595995087,0.6
60,200,0.02,"Fixed point linearization","fix","sigma[1]",0.309552105282475,0.3
60,200,0.02,"Fixed point linearization","fix","sigma[2]",0.494637837751514,0.5
61,200,0.02,"Fixed point linearization","fix","epsilon",0.10205682215216,0.1
61,200,0.02,"Fixed point linearization","fix","alpha",0.508416377112973,0.5
61,200,0.02,"Fixed point linearization","fix","gamma",1.4765388077332,1.5
