"path","ratio","sub_h","method","parameter","estimate","truth"
72,200,0.02,"fix","beta",1.1677732901858,1.4
72,200,0.02,"fix","sigma[1]",0.310769954306087,0.3
72,200,0.02,"fix","sigma[2]",0.498175885805648,0.5
73,200,0.02,"fix","epsilon",0.105358460571397,0.1
73,200,0.02,"fix","alpha",0.503299624938313,0.5
73,200,0.02,"fix","gamma",1.20750794040952,1.5
73,200,0.02,"fix","beta",1.23358663259841,1.4
73,200,0.02,"fix","sigma[1]",0.310041059396782,0.3
73,200,0.02,"fix","sigma[2]",0.510767302494967,0.5
74,200,0.02,"fix","epsilon",0.103319810612094,0.1
74,200,0.02,"fix","alpha",0.495143686639427,0.5
74,200,0.02,"fix","gamma",1.21759913059686,1.5
74,200,0.02,"fix","beta",1.00276763157189,1.4
74,200,0.02,"fix","sigma[1]",0.304002150130984,0.3
74,200,0.02,"fix","sigma[2]",0.503365037365017,0.5
75,200,0.02,"fix","epsilon",0.098491104121432,0.1
75,200,0.02,"fix","alpha",0.494678036387118,0.5
75,200,0.02,"fix","gamma",1.66193832314778,1.5
75,200,0.02,"fix","beta",1.4924836145186,1.4
75,200,0.02,"fix","sigma[1]",0.303068586111989,0.3
75,200,0.02,"fix","sigma[2]",0.507008393194212,0.5
76,200,0.02,"fix","epsilon",0.103109124021121,0.1
76,200,0.02,"fix","alpha",0.510769718767982,0.5
76,200,0.02,"fix","gamma",1.01000054447519,1.5
76,200,0.02,"fix","beta",0.987924244633914,1.4
76,200,0.02,"fix","sigma[1]",0.292495419917877,0.3
76,200,0.02,"fix","sigma[2]",0.500383937733904,0.5
77,200,0.02,"fix","epsilon",0.103763977550708,0.1
77,200,0.02,"fix","alpha",0.50593495812252,0.5
77,200,0.02,"fix","gamma",1.20500390677722,1.5
77,200,0.02,"fix","beta",1.40024086711732,1.4
77,200,0.02,"fix","sigma[1]",0.3003448279246,0.3
77,200,0.02,"fix","sigma[2]",0.500340290337739,0.5
78,200,0.02,"fix","epsilon",0.10061488773308,0.1
78,200,0.02,"fix","alpha",0.494806924607003,0.5
78,200,0.02,"fix","gamma",1.44404168201106,1.5
78,200,0.02,"fix","beta",1.19968201816369,1.4
78,200,0.02,"fix","sigma[1]",0.311345557024371,0.3
78,200,0.02,"fix","sigma[2]",0.522199696952094,0.5
79,200,0.02,"fix","epsilon",0.0986140513250069,0.1
79,200,0.02,"fix","alpha",0.502344830942235,0.5
79,200,0.02,"fix","gamma",1.22133472715327,1.5
79,200,0.02,"fix","beta",1.02175423201657,1.4
79,200,0.02,"fix","sigma[1]",0.301296187431984,0.3
79,200,0.02,"fix","sigma[2]",0.493730854868482,0.5
