"path","ratio","sub_h","method","parameter","estimate","truth"
103,100,0.01,"random","epsilon",0.0964235162691695,0.1
103,100,0.01,"random","y",-0.0954323154194696,-0.05
103,100,0.01,"random","sigma",1.63659030482523,1.7
104,100,0.01,"random","epsilon",0.106508186937625,0.1
104,100,0.01,"random","y",-0.0571458193641577,-0.05
104,100,0.01,"random","sigma",1.71156573048824,1.7
105,100,0.01,"random","epsilon",0.0970220400131568,0.1
105,100,0.01,"random","y",-0.080315337017913,-0.05
105,100,0.01,"random","sigma",1.69165643521526,1.7
106,100,0.01,"random","epsilon",0.10560263075241,0.1
106,100,0.01,"random","y",-0.0463805568743232,-0.05
106,100,0.01,"random","sigma",1.6706410832046,1.7
107,100,0.01,"random","epsilon",0.0938986616415513,0.1
107,100,0.01,"random","y",-0.0693193095615787,-0.05
107,100,0.01,"random","sigma",1.73063880482725,1.7
108,100,0.01,"random","epsilon",0.0977788088586319,0.1
108,100,0.01,"random","y",-0.00642964561921401,-0.05
108,100,0.01,"random","sigma",1.67064858771478,1.7
109,100,0.01,"random","epsilon",0.0861967019302655,0.1
109,100,0.01,"random","y",0.00491550045371726,-0.05
109,100,0.01,"random","sigma",1.72869436882315,1.7
110,100,0.01,"random","epsilon",0.112170684429002,0.1
110,100,0.01,"random","y",-0.0905302177041106,-0.05
110,100,0.01,"random","sigma",1.7170777900367,1.7
111,100,0.01,"random","epsilon",0.10088317667592,0.1
111,100,0.01,"random","y",-0.0328820997893354,-0.05
111,100,0.01,"random","sigma",1.64755836350259,1.7
112,100,0.01,"random","epsilon",0.0976496168494224,0.1
112,100,0.01,"random","y",-0.066946318803306,-0.05
112,100,0.01,"random","sigma",1.6878230628217,1.7
113,100,0.01,"random","epsilon",0.105062855197945,0.1
113,100,0.01,"random","y",-0.0547057896096872,-0.05
113,100,0.01,"random","sigma",1.7049821892731,1.7
114,100,0.01,"random","epsilon",0.103083272698235,0.1
114,100,0.01,"random","y",-0.0692092805588206,-0.05
114,100,0.01,"random","sigma",1.72506968932634,1.7
115,100,0.01,"random","epsilon",0.113231319852142,0.1
115,100,0.01,"random","y",0.0106635948281713,-0.05
115,100,0.01,"random","sigma",1.69078339820363,1.7
116,100,0.01,"random","epsilon",0.105993980039299,0.1
116,100,0.01,"random","y",-0.0676555502223162,-0.05
116,100,0.01,"random","sigma",1.70019698092394,1.7
117,100,0.01,"random","epsilon",0.108086167492776,0.1
117,100,0.01,"random","y",-0.0358194801714151,-0.05
117,100,0.01,"random","sigma",1.68884554085486,1.7
118,100,0.01,"random","epsilon",0.105352458426609,0.1
118,100,0.01,"random","y",-0.0511325784131096,-0.05
118,100,0.01,"random","sigma",1.6532048245097,1.7
119,100,0.01,"random","epsilon",0.092695618675306,0.1
119,100,0.01,"random","y",-0.0710661195314677,-0.05
119,100,0.01,"random","sigma",1.67839114125302,1.7
120,100,0.01,"random","epsilon",0.10453943083034,0.1
120,100,0.01,"random","y",-0.0397802621394537,-0.05
120,100,0.01,"random","sigma",1.70061523758664,1.7
121,100,0.01,"random","epsilon",0.105988246139994,0.1
121,100,0.01,"random","y",-0.0632543333449802,-0.05
121,100,0.01,"random","sigma",1.65431433042176,1.7
122,100,0.01,"random","epsilon",0.102546840469208,0.1
122,100,0.01,"random","y",-0.0596530835857233,-0.05
122,100,0.01,"random","sigma",1.68471752570573,1.7
123,100,0.01,"random","epsilon",0.102387159322012,0.1
123,100,0.01,"random","y",-0.0226645485497152,-0.05
123,100,0.01,"random","sigma",1.71385438304881,1.7
124,100,0.01,"random","epsilon",0.111053100210396,0.1
124,100,0.01,"random","y",-0.268955483196445,-0.05
124,100,0.01,"random","sigma",1.74465863177818,1.7
125,100,0.01,"random","epsilon",0.0996970296431737,0.1
125,100,0.01,"random","y",-0.0509758933378003,-0.05
125,100,0.01,"random","sigma",1.71538069889985,1.7
126,100,0.01,"random","epsilon",0.100540066736952,0.1
126,100,0.01,"random","y",-0.0526915814853429,-0.05
126,100,0.01,"random","sigma",1.70885998161514,1.7
127,100,0.01,"random","epsilon",0.109726029664572,0.1
127,100,0.01,"random","y",-0.0506875298917439,-0.05
127,100,0.01,"random","sigma",1.69841801066139,1.7
128,100,0.01,"random","epsilon",0.0997501373745482,0.1
128,100,0.01,"random","y",-0.081731654064944,-0.05
128,100,0.01,"random","sigma",1.70672596979513,1.7
129,100,0.01,"random","epsilon",0.110575990119672,0.1
129,100,0.01,"random","y",-0.0572647647269819,-0.05
129,100,0.01,"random","sigma",1.69015030192984,1.7
130,100,0.01,"random","epsilon",0.110854262629541,0.1
130,100,0.01,"random","y",0.0269917834709031,-0.05
130,100,0.01,"random","sigma",1.67057629371243,1.7
131,100,0.01,"random","epsilon",0.0973027092170433,0.1
131,100,0.01,"random","y",-0.0596902602662528,-0.05
131,100,0.01,"random","sigma",1.66778875481574,1.7
132,100,0.01,"random","epsilon",0.0974457953520216,0.1
132,100,0.01,"random","y",-0.0565659049245196,-0.05
132,100,0.01,"random","sigma",1.67753348639454,1.7
133,100,0.01,"random","epsilon",0.094989794483267,0.1
133,100,0.01,"random","y",-0.0572662397381758,-0.05
133,100,0.01,"random","sigma",1.6763662365939,1.7
134,100,0.01,"random","epsilon",0.112910475054226,0.1
134,100,0.01,"random","y",-0.0601702188780924,-0.05
134,100,0.01,"random","sigma",1.68735731585311,1.7
135,100,0.01,"random","epsilon",0.0964571860371729,0.1
135,100,0.01,"random","y",-0.107758587405863,-0.05
135,100,0.01,"random","sigma",1.7236201314635,1.7
136,100,0.01,"random","epsilon",0.107307170984741,0.1
136,100,0.01,"random","y",-0.0511702550125182,-0.05
136,100,0.01,"random","sigma",1.6778918352745,1.7
137,100,0.01,"random","epsilon",0.117637976277573,0.1
137,100,0.01,"random","y",-0.03212967134724,-0.05
137,100,0.01,"random","sigma",1.6819174948568,1.7
138,100,0.01,"random","epsilon",0.107771183310103,0.1
138,100,0.01,"random","y",-0.124093774965644,-0.05
138,100,0.01,"random","sigma",1.69181714062675,1.7
139,100,0.01,"random","epsilon",0.104541796382081,0.1
139,100,0.01,"random","y",-0.0554630284749741,-0.05
139,100,0.01,"random","sigma",1.68773030860912,1.7
140,100,0.01,"random","epsilon",0.0976182583329852,0.1
140,100,0.01,"random","y",-0.0399998213839483,-0.05
140,100,0.01,"random","sigma",1.68320043118518,1.7
141,100,0.01,"random","epsilon",0.09755661344799,0.1
141,100,0.01,"random","y",-0.0754105256738869,-0.05
141,100,0.01,"random","sigma",1.73398078247847,1.7
142,100,0.01,"random","epsilon",0.101355200009717,0.1
142,100,0.01,"random","y",-0.0563505679335588,-0.05
142,100,0.01,"random","sigma",1.72209239146102,1.7
143,100,0.01,"random","epsilon",0.0992024074149393,0.1
143,100,0.01,"random","y",-0.108950996978477,-0.05
143,100,0.01,"random","sigma",1.6720283842817,1.7
144,100,0.01,"random","epsilon",0.104988959515354,0.1
144,100,0.01,"random","y",-0.0195149326778182,-0.05
